,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
1753,"VP, Development",114000.00,No,TV station,State,Near Baltimore,Maryland,No,6,32,40,65,Female,Black or African American,No,MD,,Executive Officer
1754,Producer/Senior Producer,114000.00,Yes,Radio station,College/university,Boston,Massachusetts,Yes,21,21,27,64,Male,White,No,MA,132.6,Producer
1755,Software Engineering Lead,114000.00,Yes,Radio station,Community/independent nonprofit,Saint Paul,Minnesota,No,9,16,16,45,Male,White,No,MN,,Engineer
1756,Director of Facility Operations and Guest Services,112000.00,No,Radio station,Community/independent nonprofit,Seattle,Washington,No,4,13,13,54,Female,White,No,WA,124.6,Director
1757,Station Manager,112000.00,No,Radio station,College/university,Canton,New York,No,2,2,28,52,Male,White,Yes,NY,,Manager
1758,Content Director,111000.00,No,TV station,School board,Las Vegas,Nevada,Yes,14,14,26,51,Female,White,No,NV,100.7,Director
1759,Development Director,111000.00,No,Radio station,College/university,Ann Arbor,Michigan,No,14,21,21,61,Male,White,No,MI,99.3,Director
1760,Senior Project Manager,110000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,3,7,7,37,Female,White,No,DC,,Manager
1761,CEO,110000.00,No,Radio station,College/university,Rock Island,Illinois,No,9,9,47,66,Male,White,Yes,IL,,Executive Officer
1762,Director and General Manager,110000.00,No,Radio station,College/university,nan,New York,No,25,28,32,55,Male,Black or African American,No,NY,,Manager
1763,Associate Creative Director,110000.00,No,TV station,,New York,New York,Yes,20,10,25,50,Male,White,No,NY,128,Director
1764,"Director, Programming ",110000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,No,2,11.5,12,34,Male,White,No,DC,,Director
1765,Chief Programming Officer,109000.00,No,TV station,Community/independent nonprofit,Cincinnati and Dayton,Ohio,No,6,24,42,68,Male,White,No,OH,,Executive Officer
1766,Local Host,109000.00,Yes,Radio station,Community/independent nonprofit,Chicago,Illinois,Yes,20,25,27,55,Prefer not to say,Biracial/Multiracial,No,IL,100.1,Host
1767,Director of Corporate Support,108000.00,No,Radio station,Community/independent nonprofit,Denver,Colorado,No,6,7,7,66,Female,White,No,CO,112.1,Director
1768,Chief Development Officer,108000.00,No,Joint licensee,College/university,Columbus,Ohio,No,1.5,5,5,34,Female,White,No,OH,93.9,Executive Officer
1769,Program Director/Local Morning Edition Host/Weekly Talk Show Host,106000.00,No,Radio station,College/university,Fairfield,Connecticut,No,22,34,34,66,Male,White,No,CT,,Host
1770,Associate Director and Chief Operating Officer,106000.00,,TV station,College/university,Madison,Wisconsin,No,13,31,31,59,Female,White,No,WI,99.5,Director
1771,Senior Editor,105906.00,Yes,Radio station,Community/independent nonprofit,New York,New York,No,8,13,14,53,Male,White,No,NY,128,Editor
1772,Radio Director,105000.00,No,Joint licensee,Community/independent nonprofit,Fargo,North Dakota,No,22,22,52,70,Male,White,No,ND,91.4,Director
1773,Senior Producer ,105000.00,Yes,Radio station,Community/independent nonprofit,New York,New York,No,2.5,7,10,37,Female,White,No,NY,128,Producer
1774,Program Director,102000.00,No,Radio station,College/university,Thousand Oaks,California,No,6,6,28,66,Male,White,Yes,CA,,Director
1775,Director of Content,102000.00,No,Joint licensee,Community/independent nonprofit,Portland,Maine,No,1,17,17,47,Female,White,No,ME,113,Director
1776,Editor,102000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,0.5,0.5,0.5,41,Male,White,No,DC,,Editor
1777,"VP, Video Production",101000.00,No,Joint licensee,Community/independent nonprofit,Indianapolis,Indiana,No,20,20,20,66,Male,White,No,IN,90.2,Video Journalist
1778,General Manager,100000.00,No,Radio station,College/university,Chico,California,No,2.5,2.5,19,,Male,White,No,CA,110.5,Manager
1779,News Director,100000.00,,Radio station,Community/independent nonprofit,"Hawaii--on previous question about taking a job at a commercial station, the true answer is ""it would depend.""",Hawaii,No,10,10,10,60,Male,White,No,HI,,Director
