,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
336,Director of Programming,68000.00,No,Joint licensee,State,Charleston,West Virginia,No,5,25,25,55,Male,White,No,WV,83.9,Director
337,"Director of Audience, Programs and Outreach",68000.00,No,Radio station,College/university,Canton,New York,No,1,1,21,62,Female,White,No,NY,,Director
338,Director of Membership,68000.00,No,National network/organization ,,Boston,Massachusetts,No,1.5,1.5,20,50,Female,White,No,MA,132.6,Director
339,Managing Editor,68000.00,No,Radio station,College/university,Birmingham,Alabama,No,1,1,12,33,Female,Black or African American,Yes,AL,90.7,Editor
340,Digital Engagement Strategy ,68000.00,Yes,National network/organization ,,Saint Paul,Minnesota,No,2,10,10,39,Female,White,No,MN,,
341,Online Course Development Project Manager,68000.00,Yes,Joint licensee,,Norfolk,Virginia,No,6,6,6,39,Female,Black or African American,No,VA,,Manager
342,"Editor, Digital and Special Projects ",68000.00,No,Radio station,College/university,St. Louis,Missouri,No,3,3,3,35,Male,White,Yes,MO,89.6,Editor
343,"VP, Administration and Human Resources",68457.00,Yes,Joint licensee,Community/independent nonprofit,Jacksonville,Florida,No,23,23,23,58,Female,Other,No,FL,99,HR
344,Director of Marketing,67870.00,No,Joint licensee,State,Vermillion,South Dakota,No,17,17,19,57,Male,White,No,SD,,Marketing
345,General Manager ,67500.00,No,Radio station,College/university,nan,Texas,No,38,38,50,68,Male,White,Yes,TX,,Manager
346,TV Program Director,67500.00,,Joint licensee,College/university,Tucson,Arizona,No,5,5,27,62,Female,White,No,AZ,97.7,Director
347,Director of Corporate Relations,67500.00,No,TV station,College/university,Milwaukee,Wisconsin,No,1.5,1.5,12,59,Male,White,No,WI,93.8,Director
348,Manager of Development Operations,67480.90,No,TV station,Community/independent nonprofit,nan,Minnesota,No,1,8.5,9,31,Female,White,No,MN,,Manager
349,Director of TV Programming,67277.00,No,Joint licensee,School board,Columbia,South Carolina,No,15,15,33,55,Female,Black or African American,No,SC,91.9,Director
350,Archives Manager,67000.00,No,Joint licensee,,Boston,Massachusetts,No,4,8,10,43,Male,White,No,MA,132.6,Manager
351,Program Director ,67000.00,No,Radio station,Community/independent nonprofit,Greeley,Colorado,No,5,9,10,52,Male,White,No,CO,106.1,Director
352,Communications Manager,67000.00,No,Joint licensee,Community/independent nonprofit,nan,Texas,No,6,6,8,30,Female,White,No,TX,,Manager
353,Special Projects Reporter/Producer,67000.00,No,Radio station,Community/independent nonprofit,Seattle,Washington,Yes,1,5,5,33,Male,White,No,WA,124.6,Reporter
354,General Manager,66300.00,Yes,Radio station,College/university,Little Rock,Arkansas,No,5,12,12,39,Male,White,No,AR,88,Manager
355,Marketing and Communications Manager,66300.00,No,Radio station,Community/independent nonprofit,Tacoma,Washington,No,2,2,2,40,Male,White,No,WA,,Marketing
356,Individual Giving Director,66000.00,No,Radio station,College/university,Normal,Illinois,No,2,2,2,47,Female,White,No,IL,,Director
357,General Manager,66500.00,No,Radio station,College/university,Shreveport,Louisiana,Yes,15,35,40,60,Male,White,Yes,LA,85.8,Manager
358,"VP, Public Relations",66500.00,Yes,Joint licensee,Community/independent nonprofit,nan,Indiana,No,1,15,15,50,Male,White,No,IN,,Executive Officer
359,Reporter,66000.00,No,Radio station,Community/independent nonprofit,Denver,Colorado,No,2,6,12,32,Male,White,No,CO,112.1,Reporter
360,Director of Engagement,66000.00,Yes,Radio station,Community/independent nonprofit,Louisville,Kentucky,No,3,8.5,8.5,40,Female,White,No,KY,91.6,Director
361,Audio Engineer,66000.00,Yes,National network/organization ,,New York,New York,No,2,2.5,2.5,30,Female,White,No,NY,128,Engineer
362,Content Director,65000.00,Yes,National network/organization ,,Seattle,Washington,No,1,1,7,37,Female,White,Yes,WA,124.6,Director
363,Senior Marketing and Data Analyst,65000.00,No,National network/organization ,,Boston,Massachusetts,No,4,4,7,50,Male,White,No,MA,132.6,Data Journalist
364,Business Operations Manager,65000.00,Yes,Radio station,Community/independent nonprofit,Saint Paul,Minnesota,No,2.5,5,5,35-40,Female,White,Yes,MN,,Manager
365,Producer,65000.00,Yes,National network/organization ,,New York,New York,No,2,4,4,29,Female,White,Yes,NY,128,Producer
366,"Assistant Director, Development",65000.00,No,Joint licensee,College/university,Fort Myers,Florida,No,3,3,3,37,Female,White,No,FL,101.5,Director
367,Grants Manager,65000.00,No,TV station,Community/independent nonprofit,St. Louis,Missouri,No,1,1,1,32,Female,White,No,MO,89.6,Manager
368,Special Events Manager,65923.00,No,TV station,State,Madison,Wisconsin,No,10,10,10,39,Female,White,No,WI,99.5,Manager
369,News Director,65900.00,Yes,Radio station,College/university,Birmingham,Alabama,No,4,4,15,46,Female,Other,No,AL,90.7,Director
370,Video Producer/Editor,65775.00,No,Joint licensee,College/university,San Diego,California,Yes,3,3,3,56,Male,White,No,CA,136.2,Video Journalist
371,Online Content Manager,65220.00,Yes,Joint licensee,,Norfolk,Virginia,No,2,5,5,43,Female,White,No,VA,,Manager
372,Program Director,65000.00,No,Radio station,College/university,Lawrence,Kansas,No,38,38,47,68,Male,White,No,KS,91.6,Director
373,Director of Membership Services,65000.00,No,Joint licensee,Community/independent nonprofit,Toledo,Ohio,No,4,33,33,60,Female,White,No,OH,87.5,Director
374,Operations Manager ,65000.00,No,Joint licensee,College/university,San Diego,California,No,15,4,27,,Female,White,Yes,CA,136.2,Manager
375,Sales Manager,65000.00,No,Radio station,College/university,Greensboro-High Point-Winston-Salem market,North Carolina,No,10,20,26,57,Female,White,No,NC,,Manager
376,Director of Podcasts and Special Projects,65000.00,No,Radio station,Community/independent nonprofit,Louisville,Kentucky,No,0.5,17,17,42,Female,White,No,KY,91.6,Director
377,Editor,65000.00,No,Radio station,College/university,Kansas City,Missouri,No,2,16,17,41,Female,White,No,MO,91.6,Editor
378,Co-Host and Co-Producer,65000.00,No,National network/organization ,,San Diego,California,No,14,14,14,50,Male,White,No,CA,136.2,Host
379,Reporter,65000.00,Yes,Joint licensee,School board,Atlanta,Georgia,No,6.5,6.5,14,39,Female,White,No,GA,100.3,Reporter
380,Membership Director,65000.00,Yes,Radio station,Community/independent nonprofit,Austin,Texas,No,7,7,13,38,Female,Biracial/Multiracial,No,TX,106.6,Director
381,Senior Producer,65000.00,No,Joint licensee,College/university,nan,Pennsylvania,No,5,12,12,35,Female,White,No,PA,,Producer
382,Underwriting Manager,65000.00,No,Radio station,College/university,Des Moines,Iowa,No,5,12,12,36,Male,White,No,IA,91.7,Manager
383,Host,65000.00,No,Radio station,College/university,Wisconsin,Wisconsin,No,2,4,11,33,Female,White,No,WI,,Host
384,News Videographer/Editor,65000.00,No,TV station,State,Newark,New Jersey,No,2,8,8,34,Non-binary / third gender,White,Yes,NJ,,Video Journalist
385,Audio Production Engineer,65000.00,Yes,Radio station,,Santa Monica,California,Yes,6,6,6,50,Female,White,No,CA,,Engineer
386,Education Services Manager,65000.00,No,Joint licensee,Community/independent nonprofit,Fargo,North Dakota,No,6,6,6,59,Male,White,No,ND,91.4,Manager
387,Membership Director,65000.00,Yes,Radio station,College/university,Boise,Idaho,No,6,17,6,40,Female,White,Yes,ID,,Director
388,Producer 2,65000.00,Yes,Radio station,College/university,Seattle,Washington,Yes,1,4.5,6,28,Female,Biracial/Multiracial,No,WA,124.6,Producer
389,Political Reporter,65000.00,Yes,Radio station,Community/independent nonprofit,Philadelphia,Pennsylvania,Yes,1,1,5,26,Female,White,No,PA,103.4,Reporter
390,Reporter,65000.00,No,Joint licensee,State,Atlanta,Georgia,No,3,5,5,27,Male,White,No,GA,100.3,Reporter
391,Community Engagement Manager,65000.00,No,Joint licensee,College/university,University Park,Pennsylvania,No,3.5,3.5,3.5,59,Female,White,No,PA,,Manager
392,Science Editor,65000.00,Yes,Joint licensee,,Boston,Massachusetts,No,2,3,3.5,38,Female,White,No,MA,132.6,Editor
393,Gift Officer,65000.00,No,Radio station,State,Denver,Colorado,No,3,3,3,31,Female,White,No,CO,112.1,Executive Officer
394,Podcast Producer ,65000.00,Yes,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,7,1,3,27,Female,Hispanic/Latino,Yes,TX,98.5,Producer
395,Senior Digital Editor,65000.00,Yes,National network/organization ,,Boston,Massachusetts,No,3,3,3,30,Female,White,No,MA,132.6,Editor
396,Manager,65000.00,No,National network/organization ,,Brooklyn,New York,No,2,2,2,36,Female,White,No,NY,,Manager
397,Executive Assistant,65000.00,Yes,National network/organization ,,Boston,Massachusetts,Yes,1,1,1,29,Male,White,No,MA,132.6,Other
398,Senior Development Officer,64684.00,No,TV station,Community/independent nonprofit,Twin Cities,Minnesota,No,2,7,7,31,Female,White,No,MN,,Executive Officer
399,Development Officer,64000.00,No,TV station,Community/independent nonprofit,Reno,Nevada,No,1,3,3,34,Female,White,No,NV,107.4,Manager
400,Social Media Manager,64000.00,No,National network/organization ,,San Francisco,California,No,1,1,1,29,Female,White,No,CA,178.6,Manager
401,Broadcast Operations Manager ,64000.00,No,TV station,College/university,Albuquerque,New Mexico,No,21,34,38,57,Female,White,No,NM,92.9,Manager
402,Corporate Sponsorship Manager,64000.00,No,Radio station,,Traverse City,Michigan,No,6,6,6,,Male,White,No,MI,99.6,Manager
403,Development Manager,64000.00,Yes,Radio station,Community/independent nonprofit,Nashville,Tennessee,No,14,4,4,35,Female,White,No,TN,100.1,Manager
404,"Manager, Member Communications",64000.00,No,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,3.5,3.5,3.5,52,Female,White,No,TX,98.5,Manager
405,Assistant Producer,64000.00,Yes,Radio station,Community/independent nonprofit,New York,New York,Yes,3,3,3.25,26,Male,White,No,NY,128,Producer
406,Multimedia Journalist ,63000.00,Yes,TV station,Community/independent nonprofit,Denver,Colorado,No,1,3,3,31,Female,White,No,CO,112.1,Reporter
407,Development Officer,63000.00,No,Radio station,College/university,Seattle,Washington,No,3,3.75,12,44,Female,White,No,WA,124.6,Manager
408,Software Developer,63000.00,No,Joint licensee,College/university,Lincoln,Nebraska,No,6,6,6,50,Male,White,No,NE,94.7,Engineer
409,Marketing and Communications Director/Coordinator,63706.02,Yes,Joint licensee,State,Charleston,West Virginia,No,4,4,4,52,Female,White,No,WV,83.9,Marketing
410,Host/Producer,63550.00,No,Joint licensee,Community/independent nonprofit,Hartford,Connecticut,No,1,1.5,6,32,Female,White,Yes,CT,104.8,Host
411,Announcer,63464.00,No,Radio station,College/university,Seattle,Washington,Yes,8,21,29,63,Male,White,No,WA,124.6,
412,Director of Content,63000.00,No,TV station,Community/independent nonprofit,Redding,California,No,15,30,32,58,Male,White,No,CA,108.7,Director
413,Talk Show Senior Producer,63000.00,Yes,Joint licensee,College/university,Houston,Texas,No,8,8,20,42,Male,White,No,TX,95.8,Producer
414,Director of Development,63000.00,No,Joint licensee,Community/independent nonprofit,Toledo,Ohio,No,9,18,18,40,Female,White,No,OH,87.5,Director
415,General Manager ,63000.00,No,Radio station,Community/independent nonprofit,Rhinelander,Wisconsin,No,4,18,18,42,Female,White,No,WI,,Manager
416,"Director, Audience Development",63000.00,Yes,Radio station,College/university,Kansas City,Missouri,No,3,8,15,37,Female,White,Yes,MO,91.6,Director
417,"Director, Audience Development",63000.00,Yes,Radio station,College/university,Kansas City,Missouri,No,3,8,15,37,Female,White,Yes,MO,91.6,Director
418,Podcast Producer ,63000.00,No,Radio station,College/university,Chapel Hill,North Carolina,No,1,7,12,36,Female,White,Yes,NC,,Producer
419,Senior Accountant,63000.00,No,Joint licensee,College/university,Salt Lake City,Utah,No,2,9,9,37,Female,Asian,No,UT,105.9,Accountant
420,Membership Director,63000.00,No,Joint licensee,College/university,nan,Illinois,No,8,8,8,43,Male,White,No,IL,,Director
421,Political Correspondent,63000.00,Yes,Radio station,College/university,St. Louis,Missouri,No,7,7,7,36,Male,White,Yes,MO,89.6,Reporter
422,Senior Reporter/Producer,63000.00,No,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,1,6,7,30,Male,White,No,NH,108.3,Reporter
423,Director of Business Support,63000.00,No,Radio station,Community/independent nonprofit,Dayton,Ohio,No,6,6,6,55,Female,White,No,OH,88.4,Director
424,Health Reporter,63000.00,No,Radio station,State,Atlanta,Georgia,No,6,3,3,42,Female,White,No,GA,100.3,Reporter
425,Production Manager,63000.00,Yes,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,3,3,3,29,Female,White,No,MN,,Manager
426,Video Producer,63000.00,Yes,TV station,Community/independent nonprofit,Seattle,Washington,Yes,3,3,3,33,Female,Biracial/Multiracial,Yes,WA,124.6,Video Journalist
427,Administrative Project Manager,62900.00,Yes,Radio station,Community/independent nonprofit,Denver,Colorado,No,4,9,11,,Female,White,No,CO,112.1,Manager
428,Finance Manager,62500.00,No,TV station,Community/independent nonprofit,nan,Ohio,No,6,6,6,48,Female,White,No,OH,,Manager
429,Broadcast Systems Engineer,62500.00,No,Radio station,School board,Madison,Wisconsin,No,3,3,3,26,Male,White,No,WI,99.5,Engineer
430,Editor,62000.00,Yes,TV station,College/university,Salt Lake City,Utah,No,38,38,38,64,Male,White,No,UT,105.9,Editor
431,Membership Manager,62000.00,Yes,Radio station,Community/independent nonprofit,Charlotte,North Carolina,No,3,8,8,35,Female,White,Yes,NC,97.9,Manager
432,Senior Technical Operations Manager,62000.00,No,Radio station,Community/independent nonprofit,Denver,Colorado,No,1,7,7,34,Male,White,No,CO,112.1,Manager
433,Producer,62000.00,Yes,Radio station,Community/independent nonprofit,Los Angeles,California,Yes,2,5,6,28,Female,White,No,CA,140.6,Producer
434,Digital Manager,62000.00,No,TV station,College/university,nan,New Mexico,No,0.5,5,5,34,Female,White,No,NM,,Manager
435,Radio Operations Manager,62500.00,No,Radio station,College/university,Madison,Wisconsin,No,6,13,13,43,Non-binary / third gender,White,No,WI,99.5,Manager
436,Music Director and Midday Host,62500.00,No,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,7,23,25,52,Male,White,No,PA,93.1,Host
437,Web Developer,62500.00,No,Joint licensee,College/university,Madison,Wisconsin,No,5,5,5,38,Female,White,No,WI,99.5,Engineer
438,Digital Engagement Director,62400.00,No,Joint licensee,Community/independent nonprofit,Rochester,New York,No,9,11,11,42,Male,Hispanic/Latino,No,NY,96.6,Director
439,Program Manager ,62000.00,No,TV station,College/university,Bowling Green,Kentucky,No,32,32,35,55,Female,White,No,KY,87,Manager
440,Station Manager,62000.00,No,Joint licensee,College/university,nan,Illinois,No,17,24,27,53,Male,White,No,IL,,Manager
441,TV Program Director,62000.00,No,Joint licensee,Community/independent nonprofit,Indianapolis,Indiana,No,17,21,21,41,Female,White,No,IN,90.2,Director
442,Traffic Manager,62000.00,No,Radio station,College/university,Philadelphia,Pennsylvania,No,15,17,18,40,Female,White,No,PA,103.4,Manager
443,Host/Senior Producer,62000.00,No,Radio station,College/university,Madison,Wisconsin,No,5,5,17,44,Male,White,No,WI,99.5,Host
444,Video Producer/Editor,62000.00,Yes,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,8,13,14,36,Male,White,No,TX,98.5,Video Journalist
445,Producer,62000.00,Yes,TV station,Community/independent nonprofit,St. Louis,Missouri,No,8,13,13,41,Female,White,Yes,MO,89.6,Producer
446,Senior Producer ,62000.00,No,Joint licensee,School board,Miami,Florida,No,1,3,10,30,Male,White,Yes,FL,110.1,Producer
447,Broadcast Operations Manager,62000.00,Yes,TV station,Community/independent nonprofit,Boston,Massachusetts,No,2.5,5,8,33,Male,White,No,MA,132.6,Manager
448,"Associate Director, Mobile Tour",62000.00,Yes,National network/organization ,,Brooklyn,New York,No,3.5,5,6,43,Female,White,No,NY,,Director
449,Reporter,62000.00,Yes,Radio station,College/university,Chapel Hill,North Carolina,No,4,4,6,31,Female,Black or African American,No,NC,,Reporter
450,Engagement Manager,62000.00,Yes,TV station,Community/independent nonprofit,Los Angeles,California,No,2,5,5,27,Female,White,No,CA,140.6,Manager
451,Reporter/Producer,62000.00,No,Joint licensee,Community/independent nonprofit,Cleveland,Ohio,No,2,2,5,46,Male,White,No,OH,90,Reporter
452,Production Manager,62000.00,No,TV station,Community/independent nonprofit,Winooski,Vermont,No,4,4,4,33,Male,White,No,VT,,Manager
453,Digital Media Manager,62000.00,Yes,Joint licensee,State,Jackson,Mississippi,No,2,2,2,50,Male,White,No,MS,87.8,Manager
454,Assistant Social Media Manager ,61200.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,2,2,5,24,Female,Black or African American,No,DC,,Manager
455,VP of Development,61500.00,No,Joint licensee,Community/independent nonprofit,Merrillville,Indiana,No,2,3.5,3.5,33,Male,Hispanic/Latino,Yes,IN,,Executive Officer
456,Development Manager,61250.00,No,Joint licensee,Community/independent nonprofit,Anchorage,Alaska,No,2.5,2.5,2.5,34,Male,White,No,AK,110.7,Manager
457,Multimedia Producer/Director,61062.00,Yes,Joint licensee,College/university,East Lansing,Michigan,Yes,20,23,26,49,Male,White,No,MI,,Producer
458,Production Director,61000.00,No,Radio station,Community/independent nonprofit,Providence,Rhode Island,No,2,14,16,46,Male,White,No,RI,111.5,Director
459,Senior Producer,61000.00,Yes,Radio station,Community/independent nonprofit,Burlington,Vermont,No,5,15,15,38,Female,White,No,VT,112.8,Producer
460,Director of Science Communication ,61000.00,No,Joint licensee,Community/independent nonprofit,Binghamton,New York,No,5,13,13,44,Female,White,No,NY,93.3,Director
461,Sales Assistant ,61000.00,No,Radio station,Community/independent nonprofit,New York,New York,Yes,5.4,5.4,5.4,50,Female,White,Yes,NY,128,
462,Membership Director,60320.00,Yes,Radio station,College/university,Seaside,California,No,4,5,5,41,Female,White,Yes,CA,,Director
463,Chief Engineer,60000.00,,Radio station,State,Oswego,New York,No,15,26,26,49 years 9 months,Male,White,No,NY,,Engineer
464,Development Director,60000.00,No,Radio station,Community/independent nonprofit,Wilmington,North Carolina,No,8,11,21,55,Female,White,No,NC,99,Director
465,Production Manager,60000.00,No,Joint licensee,College/university,Bowling Green,Kentucky,No,7,20,20,39,Male,White,No,KY,87,Manager
466,Video Journalist ,60000.00,Yes,Joint licensee,College/university,San Diego,California,Yes,5,20,20,49,Male,Asian,No,CA,136.2,Video Journalist
467,Director of Membership,60000.00,No,Radio station,Community/independent nonprofit,Louisville,Kentucky,No,6,9,10,35,Male,White,No,KY,91.6,Director
468,Reporter/Host,60000.00,,Radio station,College/university,Tampa,Florida,No,2,2,5,47,Female,White,No,FL,101.4,Reporter
469,Digital Producer,60000.00,Yes,TV station,Community/independent nonprofit,Los Angeles,California,No,4,4,4,39,Female,Asian,No,CA,140.6,Producer
470,Membership Director,60000.00,No,Radio station,School board,Omaha,Nebraska,No,4,4,4,70,Female,White,No,NE,92.9,Director
471,CEO and General Manager,60000.00,Yes,TV station,Community/independent nonprofit,Martin,Tennessee,No,3,3,3,62,Male,Other,Yes,TN,,Manager
472,Program Director,60984.00,No,Radio station,College/university,Birmingham,Alabama,No,24,22,31,53,Male,White,No,AL,90.7,Director
473,TV Producer and Director,60500.00,Yes,TV station,College/university,Milwaukee,Wisconsin,No,8,8,10,42,Female,Asian,No,WI,93.8,Producer
474,Marketing Associate ,60384.00,Yes,Radio station,College/university,Chapel Hill,North Carolina,No,3,3,3,30,Female,White,No,NC,,Marketing
475,Studio Technologist III,60320.00,No,TV station,Community/independent nonprofit,Durham,New Hampshire,No,3,23,23,48,Male,White,No,NH,,
476,"Associate Producer, On-Air Fundraising",60000.00,Yes,Joint licensee,,Arlington,Virginia,No,0,2,6,28,Female,White,No,VA,,Producer
477,Donor Services Manager,60000.00,No,Radio station,College/university,"We’re the only ones in this locale, which would reveal my identity",North Carolina,No,1.25,1.25,1.25,39,Female,White,No,NC,,Manager
478,Grants and Major Gifts,60000.00,No,Radio station,,nan,,,,,,,,,,,,
479,Reporter/Producer,60000.00,No,Radio station,College/university,Detroit,Michigan,No,16,16,27,58,Male,White,No,MI,93.2,Reporter
480,Correspondent ,60000.00,No,Radio station,College/university,St. Louis,Missouri,No,3,3,24,47,Male,White,No,MO,89.6,Reporter
481,TV Program Director,60000.00,Yes,Joint licensee,Community/independent nonprofit,Rochester,New York,No,12,23,23,45,Female,White,No,NY,96.6,Director
482,Reporter/Host,60000.00,Yes,Radio station,College/university,Tampa,Florida,No,2,2,16,41,Male,White,No,FL,101.4,Reporter
483,Traffic Manager,60000.00,Yes,Radio station,,nan,,No,9,9,12,,,,,,,Manager
484,Marketing Manager,60000.00,,Joint licensee,College/university,Mount Pleasant,Michigan,Yes,1,9,9,34,Female,White,No,MI,86.8,Marketing
485,Producer,60000.00,Yes,Radio station,Community/independent nonprofit,Denver,Colorado,No,1,1,9,39,Male,Hispanic/Latino,Yes,CO,112.1,Producer
486,"Account Executive, Sponsorship",60000.00,Yes,Radio station,College/university,Los Angeles,California,No,8,8,8,42,Male,Hispanic/Latino,Yes,CA,140.6,Managerr
487,Technical Manager,60000.00,Yes,TV station,State,Newark,New Jersey,No,2,8,8,29,Male,White,Yes,NJ,,Manager
488,Public Relations Specialist,60000.00,Yes,Joint licensee,State,Salt Lake City,Utah,No,5,7,7,55,Female,White,No,UT,105.9,Specialist
489,Executive Editor,60000.00,No,TV station,Community/independent nonprofit,Austin,Texas,No,1,2.5,6,,Female,Hispanic/Latino,No,TX,106.6,Editor
490,Senior Editor ,60000.00,No,Radio station,College/university,Chico,California,No,0.5,0.5,6,30,Female,White,No,CA,110.5,Editor
491,Coordinating Producer,60000.00,Yes,TV station,Community/independent nonprofit,Boston,Massachusetts,No,1,4,4,28,Female,White,No,MA,132.6,Producer
492,Reporter,60000.00,No,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,1,1,4,23,Female,Hispanic/Latino,No,TX,98.5,Reporter
493,Audience Engagement Specialist,60000.00,Yes,National network/organization ,,New York,New York,No,3,3,3,,,,,NY,128,Specialist
494,Digital Marketing Manager ,60000.00,Yes,National network/organization ,,Columbia,South Carolina,No,2.5,2.5,2.5,41,Female,White,No,SC,91.9,Marketing
495,Producer,60000.00,No,TV station,College/university,Salt Lake City,Utah,No,1,1,1,30,Male,White,Yes,UT,105.9,Producer
496,Development and Data Analyst,59247.00,No,Joint licensee,College/university,Lincoln,Nebraska,No,3,20,20,59,Female,White,No,NE,94.7,Data Journalist
497,Finance and Compliance Manager,59124.00,No,Joint licensee,College/university,Bowling Green,Kentucky,No,8,13,8,35,Female,White,Yes,KY,87,Manager
498,"Senior Development Representative, Business Sponsorship",59100.00,No,Radio station,,Milwaukee,Wisconsin,No,11,11,11,46,Male,White,Yes,WI,93.8,
499,Associate Producer,59000.00,Yes,National network/organization ,,New York,New York,No,7,5,5,34,Male,White,No,NY,128,Producer
500,Digital Politics Reporter,59740.00,Yes,National network/organization ,,Arlington,Virginia,No,1.6,1.6,2,30,Female,Black or African American,Yes,VA,,Reporter
501,Motion Graphic Designer,59000.00,Yes,TV station,College/university,Madison,Wisconsin,No,21,21,21,49,Female,White,No,WI,99.5,Designer
502,Assistant Program Director ,59000.00,No,Joint licensee,College/university,Columbus,Ohio,No,5,13,20,38,Female,White,No,OH,93.9,Director
503,Traffic Coordinator,59000.00,Yes,Radio station,Community/independent nonprofit,Chicago,Illinois,Yes,10,10,15,42,Female,White,No,IL,100.1,Manager
504,Executive Producer,59000.00,Yes,Radio station,College/university,Madison,Wisconsin,No,3,10,13,35,Female,White,No,WI,99.5,Producer
505,Education and Outreach Manager,59000.00,No,TV station,College/university,Albuquerque,New Mexico,Yes,11,11,11,66,Female,White,No,NM,92.9,Manager
506,Producer,59000.00,Yes,TV station,Community/independent nonprofit,Denver,Colorado,No,3,4,5,27,Male,Hispanic/Latino,No,CO,112.1,Producer
507,"Manager, Membership Campaigns",58240.00,No,TV station,Community/independent nonprofit,Los Angeles,California,No,4.5,7.5,7.5,37,Female,White,No,CA,140.6,Manager
508,Lead Digital Video Specialist,58000.00,Yes,TV station,State,nan,Maryland,No,5,5,8,32,Female,Black or African American,No,MD,,Video Journalist
509,Chief Operating Officer,58000.00,Yes,Radio station,Community/independent nonprofit,Marfa,Texas,No,3,3,3,42,Female,White,Yes,TX,,Executive Officer
510,Manager of Individual Giving,58000.00,No,Radio station,College/university,Salt Lake City,Utah,No,2,2,2,37,Female,White,No,UT,105.9,Manager
511,Membership Manager,58500.00,No,Radio station,Community/independent nonprofit,Asheville,North Carolina,No,1.5,1.5,13,40,Female,White,No,NC,103.3,Manager
512,"Morning Edition Host, Producer and Reporter ",58000.00,No,Radio station,Community/independent nonprofit,Aspen,Colorado,No,1,2,3,29 ,Female,White,Yes,CO,,Reporter
513,Program Director/Morning Edition Host,58000.00,Yes,Radio station,College/university,New Bern,North Carolina,No,21,21,21,51,Female,White,No,NC,90.2,Host
514,Assistant Rights Manager,58000.00,Yes,TV station,,Boston,Massachusetts,No,14,17.7,17.7,48,Female,Black or African American,No,MA,132.6,Manager
515,Assistant News Director,58000.00,No,Radio station,College/university,Winston-Salem,North Carolina,No,2,9,10,35,Female,White,No,NC,91.2,Director
516,Local All Things Considered Host,58000.00,No,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,3,5,10,32,Male,White,No,PA,93.1,Host
517,Community Relations and Events Manager,58000.00,No,Radio station,College/university,Sacramento,California,No,15,7,7,36,Female,Hispanic/Latino,Yes,CA,120.3,Manager
518,Human Resources Associate/Payroll Accountant,58000.00,No,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,7,7,7,57,Female,White,Yes,NH,108.3,Accountant
519,Broadcast Recording Technician,58000.00,Yes,Radio station,College/university,Boston,Massachusetts,Yes,6,6,6,,Male,White,Yes,MA,132.6,
520,News Director ,58000.00,No,Radio station,Community/independent nonprofit,Marfa,Texas,No,1,4,6,32,Male,Hispanic/Latino,No,TX,,Director
521,"Senior Coordinator, Special Events",58000.00,Yes,Joint licensee,Community/independent nonprofit,New York,New York,No,3,5.5,5.5,28,Female,White,No,NY,128,Manager
522,Video Production Manager,58000.00,Yes,Joint licensee,College/university,Champaign,Illinois,No,3,4,4,46,Male,White,Yes,IL,89,Video Journalist
523,Human Resources Manager,58000.00,Yes,National network/organization ,,Brooklyn,New York,No,3,3,3,35,Prefer not to say,White,No,NY,,HR
524,Producer,57400.00,Yes,Radio station,Community/independent nonprofit,Seattle,Washington,No,2,2,5,26,Non-binary / third gender,White,No,WA,124.6,Producer
525,Media Project Manager,57000.00,Yes,Radio station,College/university,Kansas City,Missouri,No,1.5,11,2,39,Female,White,Yes,MO,91.6,Manager
526,Producer/Director ,57400.00,Yes,TV station,College/university,Salt Lake City,Utah,No,33,33,35,61,Female,White,No,UT,105.9,Producer
527,National Fundraising Specialist,57100.00,Yes,National network/organization ,,Saint Paul,Minnesota,No,1.5,1.5,1.5,34,Female,White,Yes,MN,,Specialist
528,Operations Manager,57000.00,Yes,Radio station,College/university,Tampa,Florida,Yes,5.5,13,20,35,Male,White,Yes,FL,101.4,Manager
529,Producer,57000.00,No,Radio station,Community/independent nonprofit,Chicago,Illinois,Yes,10,1,10,39,Female,Black or African American,No,IL,100.1,Producer
530,Regional Manager,57000.00,Yes,Radio station,College/university,Superior,Wisconsin,No,4.5,,32.5,56,Male,White,No,WI,,Manager
531,Reporter,57000.00,Yes,Radio station,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,7,7,25,50,Female,White,No,PA,93.1,Reporter
532,Senior Reporter,57000.00,Yes,Radio station,College/university,New Orleans,Louisiana,No,6,6,11,35,Female,White,Yes,LA,92.4,Reporter
533,"Manager, On-Demand Content and Audience Engagement (Podcasts)",57000.00,Yes,Radio station,Community/independent nonprofit,Charlotte,North Carolina,No,3,4,10,29,Female,White,No,NC,97.9,Manager
534,Coordinating Producer,57000.00,Yes,Joint licensee,Community/independent nonprofit,Cleveland,Ohio,No,2,6,8,31,Female,White,Yes,OH,90,Producer
